Rang	Entreprise	Activité	Ville	Chiffre d'affaires
434	VILMORIN & CIE	Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé (47.76Z)	PARIS 1 75001	1 435 200 000 €
435	SNCF GARES & CONNEXIONS	Services auxiliaires des transports terrestres (52.21Z)	PARIS 13 75013	1 435 000 000 €
436	FM HOLDING CORPORATE	Activités des sociétés holding (64.20Z)	PHALSBOURG 57370	1 430 399 000 €
437	WFS ACQUISITION SAS	Activités des sièges sociaux (70.10Z)	PARIS 1 75001	1 426 506 000 €
438	SCAPALSACE	Centrales d'achat alimentaires (46.17A)	COLMAR 68000	1 423 293 456 €
439	PEUGEOT CITROEN PIECES DE RECHANGE	Fabrication d'autres équipements automobiles (29.32Z)	VELIZY-VILLACOUBLAY 78140	1 421 137 232 €
440	EIFFAGE GENIE CIVIL	Construction et entretien de tunnels (42.13B)	VELIZY-VILLACOUBLAY 78140	1 412 950 887 €
441	NOVARTEX	Fonds de placement et entités financières similaires (64.30Z)	PARIS 19 75019	1 412 303 000 €
442	INTERSPORT FRANCE	Centrales d'achat non alimentaires (46.19A)	LONGJUMEAU 91160	1 410 044 524 €
443	HUAWEI TECHNOLOGIES FRANCE	Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication (46.52Z)	BOULOGNE-BILLANCOURT 92100	1 408 122 518 €
444	MARTIN-BROWER FRANCE SAS	Transports routiers de fret interurbains (49.41A)	LISSES 91090	1 406 313 348 €
445	SANOFI CHIMIE	Fabrication de produits pharmaceutiques de base (21.10Z)	GENTILLY 94250	1 405 000 000 €
446	SCHENKER FRANCE	Messagerie, fret express (52.29A)	MONTAIGU-VENDEE 85600	1 400 473 837 €
447	JACOBS DOUWE EGBERTS FR SAS	Commerce de gros (commerce interentreprises) de café, thé, cacao et épices (46.37Z)	PARIS 10 75010	1 395 088 764 €
448	INETUM	Conseil en systèmes et logiciels informatiques (62.02A)	SAINT-OUEN-SUR-SEINE 93400	1 394 548 000 €
449	GPG GROUPE PHILIPPE GINESTET	Activités des sièges sociaux (70.10Z)	VILLENEUVE-SUR-LOT 47300	1 393 396 000 €
450	SOCARA SOCIETE COOPERATIVE D'APPROVISIONNEMENT RHONE ALPES	Centrales d'achat alimentaires (46.17A)	VILLETTE D'ANTHON 38280	1 392 354 487 €
451	V. MANE FILS	Fabrication d'huiles essentielles (20.53Z)	LE BAR-SUR-LOUP 06620	1 386 594 000 €
452	MANE INVESTISSEMENTS	Activités des sociétés holding (64.20Z)	LE BAR-SUR-LOUP 06620	1 386 594 000 €
453	SAFRAN ELECTRONICS & DEFENSE	Fabrication d'équipements d'aide à la navigation (26.51A)	PARIS 15 75015	1 385 622 000 €
454	WOREX SNC	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	LE PECQ 78230	1 383 447 639 €
455	SOUFFLET AGRICULTURE	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	NOGENT-SUR-SEINE 10400	1 382 289 539 €
456	ALPIQ ENERGIE FRANCE SAS	Commerce d'électricité (35.14Z)	NEUILLY-SUR-SEINE 92200	1 376 314 925 €
457	HOLDING FCP	Activités des sièges sociaux (70.10Z)	CASTELNAU-LE-LEZ 34170	1 376 158 631 €
458	EG RETAIL (FRANCE) SAS	Commerce de détail de carburants en magasin spécialisé (47.30Z)	CERGY 95800	1 371 448 785 €
459	MILLIPORE	Fabrication d'autres machines d'usage général (28.29B)	MOLSHEIM 67120	1 370 467 217 €
460	SOCIETE COOPERATIVE AGRICOLE UNEAL	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	SAINT-LAURENT-BLANGY 62223	1 366 304 000 €
461	EURO INFORMATION EURO-INFORMATION EUROPEENNE DE TRAITEMENT DE L'INFORMATION	Gestion d'installations informatiques (62.03Z)	STRASBOURG 67000	1 359 404 812 €
462	SICA SAS AXEREAL	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	OLIVET 45160	1 357 930 810 €
463	BENETEAU	Activités des sièges sociaux (70.10Z)	SAINT-GILLES-CROIX-DE-VIE 85800	1 344 476 000 €
464	FSD FINANCIERE SNOP-DUNOIS	Activités des sièges sociaux (70.10Z)	BRIOUDE 43100	1 341 912 000 €
465	CRIT	Activités des agences de travail temporaire (78.20Z)	PARIS 17 75017	1 338 941 571 €
466	BERI 21	Ingénierie, études techniques (71.12B)	PARIS 7 75007	1 336 221 000 €
467	ZARA FRANCE	Commerce de détail d'habillement en magasin spécialisé (47.71Z)	PARIS 12 75012	1 330 548 881 €
468	BASF FRANCE SAS	Commerce de gros (commerce interentreprises) de produits chimiques (46.75Z)	LEVALLOIS-PERRET 92300	1 324 244 451 €
469	FM LOGISTIC CORPORATE	Activités des sièges sociaux (70.10Z)	PHALSBOURG 57370	1 317 605 000 €
470	BAYER SAS	Fabrication de pesticides et d'autres produits agrochimiques (20.20Z)	LYON 9EME 69009	1 311 193 770 €
471	PFIZER	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	PARIS 14 75014	1 310 421 167 €
472	FERRERO FRANCE COMMERCIALE	Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie (46.36Z)	MONT-SAINT-AIGNAN 76130	1 305 578 224 €
473	D.P.F.F. DANONE PRODUITS FRAIS FRANCE	Fabrication de lait liquide et de produits frais (10.51A)	RUEIL-MALMAISON 92500	1 305 266 237 €
474	NWMD NESTLE WATERS MARKETING & DISTRIBUTION	Commerce de gros (commerce interentreprises) de boissons (46.34Z)	ISSY-LES-MOULINEAUX 92130	1 293 682 214 €
475	ANCIENS ETS G.SCHIEVER ET FILS	Activités des sièges sociaux (70.10Z)	AVALLON 89200	1 293 163 875 €
476	ANTARGAZ	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	COURBEVOIE 92400	1 285 476 200 €
477	SONAPRO	Commerce de gros (commerce interentreprises) de matériel électrique (46.69A)	BOULOGNE-BILLANCOURT 92100	1 282 834 372 €
478	SCA CAP SEINE SOCIETE COOPERATIVE AGRICOLE NATUP	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	MONT-SAINT-AIGNAN 76130	1 278 418 000 €
479	JTEKT EUROPE	Commerce de gros d'équipements automobiles (45.31Z)	IRIGNY 69540	1 276 749 000 €
480	FRANCAISE DE MECANIQUE	Construction de véhicules automobiles (29.10Z)	DOUVRIN 62138	1 272 435 120 €
481	NOVARES GROUP	Activités des sièges sociaux (70.10Z)	CLAMART 92140	1 267 300 000 €
482	SAFRAN HELICOPTER ENGINES	Réparation et maintenance d'aéronefs et d'engins spatiaux (33.16Z)	BORDES 64510	1 265 160 000 €
483	MAISONS DU MONDE	Conseil pour les affaires et autres conseils de gestion (70.22Z)	VERTOU 44120	1 263 697 000 €
484	COOPERATIVE D'APPROVISIONNEMENT NORMANDE	Centrales d'achat alimentaires (46.17A)	LISIEUX 14100	1 262 623 000 €
485	ITM LOGISTIQUE ALIMENTAIRE INTERNATIONAL	Transports routiers de fret de proximité (49.41B)	PARIS 15 75015	1 261 649 873 €
486	SOMFY SA	Activités des sièges sociaux (70.10Z)	CLUSES 74300	1 257 128 000 €
487	GAZELENERGIE SOLUTIONS	Commerce d'électricité (35.14Z)	COLOMBES 92700	1 249 630 247 €
488	BECTON DICKINSON FRANCE	Fabrication de matériel médico-chirurgical et dentaire (32.50A)	LE PONT-DE-CLAIX 38800	1 246 719 937 €
489	PEPSICO FRANCE	Commerce de gros (commerce interentreprises) de boissons (46.34Z)	COLOMBES 92700	1 244 542 715 €
490	ORANO CHIMIE-ENRICHISSEMENT	Élaboration et transformation de matières nucléaires (24.46Z)	CHATILLON 92320	1 238 213 000 €
491	SOC DE PARTICIPATION DEAUVILLAISE	Activités des sociétés holding (64.20Z)	PARIS 16 75016	1 235 888 000 €
492	BOUYGUES TRAVAUX PUBLICS	Construction d'ouvrages d'art (42.13A)	GUYANCOURT 78280	1 235 257 575 €
493	SOC COOPERATIVE SOCAMIL	Centrales d'achat alimentaires (46.17A)	TOURNEFEUILLE 31170	1 234 807 300 €
494	TRANSGOURMET OPERATIONS	Commerce de gros (commerce interentreprises) alimentaire non spécialisé (46.39B)	VALENTON 94460	1 231 313 186 €
495	FIMAS	Activités des sociétés holding (64.20Z)	PAU 64000	1 224 420 041 €
496	SNET GAZELENERGIE GENERATION	Commerce d'électricité (35.14Z)	COLOMBES 92700	1 224 391 860 €
497	LE GRAND REY	Supports juridiques de gestion de patrimoine mobilier (66.19A)	LYON 7EME 69007	1 218 395 000 €
498	FINANCIERE MENDEL	Activités des sociétés holding (64.20Z)	PARIS 8 75008	1 216 570 000 €
499	FINANCIERE DARWIN I	Autres activités de soutien aux entreprises n.c.a. (82.99Z)	PARIS 8 75008	1 216 570 000 €
500	AMUNDI AM AMUNDI ASSET MANAGEMENT	Gestion de fonds (66.30Z)	PARIS 15 75015	1 213 040 000 €
501	OPEL FRANCE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	POISSY 78300	1 201 223 124 €
502	GRENKE LOCATION	Location et location-bail de machines de bureau et de matériel informatique (77.33Z)	SCHILTIGHEIM 67300	1 198 530 516 €
503	BRISTOL MYERS SQUIBB	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	RUEIL-MALMAISON 92500	1 196 319 752 €
504	KPMG ASSOCIES	Activités comptables (69.20Z)	COURBEVOIE 92400	1 190 930 000 €
505	CONSTELLIUM NEUF BRISACH	Métallurgie de l'aluminium (24.42Z)	BIESHEIM 68600	1 187 333 416 €
506	YVES SAINT LAURENT	Commerce de gros (commerce interentreprises) d'autres biens domestiques (46.49Z)	PARIS 7 75007	1 186 645 059 €
507	SIEMENS S.A.S	Fabrication d'équipements de communication (26.30Z)	SAINT-DENIS 93210	1 186 031 431 €
508	CGI FRANCE	Conseil en systèmes et logiciels informatiques (62.02A)	COURBEVOIE 92400	1 185 927 805 €
509	SAIPEM SA	Construction d'ouvrages maritimes et fluviaux (42.91Z)	MONTIGNY-LE-BRETONNEUX 78180	1 181 605 324 €
510	NESTLE PURINA PETCARE FRANCE	Fabrication d'aliments pour animaux de compagnie (10.92Z)	ISSY-LES-MOULINEAUX 92130	1 180 644 993 €
511	BASELL POLYOLEFINES FRANCE	Fabrication de matières plastiques de base (20.16Z)	BERRE L'ETANG 13130	1 180 167 447 €
512	ARVAL SERVICE LEASE	Location de longue durée de voitures et de véhicules automobiles légers (77.11B)	PARIS 9 75009	1 178 869 795 €
513	SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE LA REGION DE L'ARTOIS SCAPARTOIS	Centrales d'achat alimentaires (46.17A)	TILLOY-LES-MOFFLAINES 62217	1 176 240 142 €
514	JANSSEN CILAG	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	ISSY-LES-MOULINEAUX 92130	1 175 229 849 €
515	GL EVENTS	Activités des sièges sociaux (70.10Z)	LYON 2EME 69002	1 172 875 000 €
516	GCF LES GRANDS CHAIS DE FRANCE	Vinification (11.02B)	PETERSBACH 67290	1 172 715 000 €
517	C.SAS CANDIA	Fabrication de lait liquide et de produits frais (10.51A)	PARIS 14 75014	1 172 142 043 €
518	KIABI EUROPE	Commerce de détail d'habillement en magasin spécialisé (47.71Z)	HEM 59510	1 162 282 929 €
519	ITM ALIMENTAIRE EST	Centrales d'achat alimentaires (46.17A)	PARIS 15 75015	1 158 434 274 €
520	SAMLION INVEST	Gestion de fonds (66.30Z)	LAVAL 53000	1 157 033 000 €
521	HACHETTE LIVRE	Édition de livres (58.11Z)	VANVES 92170	1 156 304 768 €
522	IFP ENERGIES NOUVELLES	Recherche-développement en autres sciences physiques et naturelles (72.19Z)	RUEIL-MALMAISON 92500	1 152 300 000 €
523	POMPAC DEVELOPPEMENT	Gestion de fonds (66.30Z)	STRASBOURG 67100	1 151 872 000 €
524	BAYER HEALTHCARE SAS	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	LOOS 59120	1 150 643 507 €
525	QUADIENT S.A.	Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright (77.40Z)	BAGNEUX 92220	1 142 700 000 €
526	CLUB-TRANSPORT STELA SOCIETE PRODUITS PETROLIERS STELA	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	ALBI 81000	1 139 915 233 €
527	CRISTALCO	Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie (46.36Z)	PARIS 16 75116	1 139 909 049 €
528	COMPASS GROUP FRANCE	Restauration collective sous contrat (56.29A)	CHATILLON 92320	1 138 658 702 €
529	GE ENERGY PRODUCTS FRANCE SNC	Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules (28.11Z)	BELFORT 90000	1 137 018 290 €
530	ADISSEO FRANCE S.A.S.	Fabrication d'autres produits chimiques organiques de base (20.14Z)	ANTONY 92160	1 133 857 501 €
531	ORANO MINING	Commerce de gros (commerce interentreprises) de minerais et métaux (46.72Z)	CHATILLON 92320	1 133 486 000 €
532	SAP FRANCE	Tierce maintenance de systèmes et d'applications informatiques (62.02B)	LEVALLOIS-PERRET 92300	1 131 277 689 €
533	KUWAIT PETROLEUM AVIATION FRANCE SAS	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	PARIS 17 75017	1 131 203 450 €
534	EGIS	Activités des sièges sociaux (70.10Z)	GUYANCOURT 78280	1 129 908 000 €
535	SFR FIBRE SAS	Télécommunications filaires (61.10Z)	CHAMPS-SUR-MARNE 77420	1 127 272 521 €
536	REMY COINTREAU	Autres activités de soutien aux entreprises n.c.a. (82.99Z)	COGNAC 16100	1 125 900 000 €
537	KPMG	Activités comptables (69.20Z)	COURBEVOIE 92400	1 121 580 000 €
538	DELOITTE	Activités comptables (69.20Z)	PUTEAUX 92800	1 118 062 000 €
539	SNETOR	Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (46.69B)	COURBEVOIE 92400	1 112 735 896 €
540	RIVA ACIER	Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier (24.20Z)	PORCHEVILLE 78440	1 109 722 110 €
541	PROMOTHERMIS	Activités des sociétés holding (64.20Z)	PARIS 8 75008	1 106 601 000 €
542	COUTIER DEVELOPPEMENT	Activités des sièges sociaux (70.10Z)	CHAMPFROMIER 01410	1 101 597 000 €
543	E.A. SAS ENTREMONT ALLIANCE	Fabrication de fromage (10.51C)	ANNECY 74000	1 095 853 900 €
544	S C A D I F SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE L'ILE DE FRANCE	Centrales d'achat alimentaires (46.17A)	SAVIGNY-LE-TEMPLE 77176	1 094 652 358 €
545	GETLINK S.E.	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	1 085 277 000 €
546	CSKZ INVESTISSEMENTS	Activités des sociétés holding (64.20Z)	SAINT-DENIS 93210	1 082 936 000 €
547	AXIMA CONCEPT	Travaux d'installation d'équipements thermiques et de climatisation (43.22B)	COURBEVOIE 92400	1 074 900 633 €
548	SUPERMARCHES MATCH	Supermarchés (47.11D)	LA MADELEINE 59110	1 073 607 180 €
549	ESSITY FRANCE	Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté (46.45Z)	SAINT-OUEN-SUR-SEINE 93400	1 066 285 188 €
550	ROCHE	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	BOULOGNE-BILLANCOURT 92100	1 061 370 185 €
551	MCDONALD'S FRANCE	Location de terrains et d'autres biens immobiliers (68.20B)	GUYANCOURT 78280	1 060 264 057 €
552	H GCC	Activités des sièges sociaux (70.10Z)	LES MUREAUX 78130	1 055 958 000 €
553	GAMA	Activités des sièges sociaux (70.10Z)	LEVALLOIS-PERRET 92300	1 055 238 000 €
554	ESTHER	Activités des sociétés holding (64.20Z)	LEVALLOIS-PERRET 92300	1 055 113 000 €
555	DIAC LOCATION	Location de longue durée de voitures et de véhicules automobiles légers (77.11B)	NOISY-LE-GRAND 93160	1 054 981 000 €
556	APERAM STAINLESS FRANCE	Sidérurgie (24.10Z)	SAINT-DENIS 93210	1 050 673 178 €
557	ROYAL CANIN SAS	Fabrication d'aliments pour animaux de compagnie (10.92Z)	AIMARGUES 30470	1 049 749 619 €
558	BNP PARIBAS ASSET MANAGEMENT FRANCE	Gestion de fonds (66.30Z)	PARIS 9 75009	1 045 925 589 €
559	AIR LIQUIDE FRANCE INDUSTRIE	Fabrication de gaz industriels (20.11Z)	PARIS 7 75007	1 045 691 000 €
560	SCA FRUITS LEGUMES FLEURS	Centrales d'achat alimentaires (46.17A)	PARIS 15 75015	1 044 000 000 €
561	CLUB MED	Hébergement touristique et autre hébergement de courte durée (55.20Z)	PARIS 19 75019	1 043 000 000 €
562	SELESFI SAS	Activités des sièges sociaux (70.10Z)	SELESTAT 67600	1 040 461 321 €
563	FINANCIERE SENIOR CINQUS	Gestion de fonds (66.30Z)	PARIS 8 75008	1 040 288 000 €
564	AXENS	Fabrication d'autres produits chimiques n.c.a. (20.59Z)	RUEIL-MALMAISON 92500	1 034 353 000 €
565	CAVAC COOP AGRICOL VENDEE APPROV VENTE CEREALE	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	LA ROCHE-SUR-YON 85000	1 029 204 000 €
566	LUBRIZOL FRANCE	Fabrication d'autres produits chimiques n.c.a. (20.59Z)	ROUEN 76100	1 025 945 101 €
567	LACTALIS INGREDIENTS	Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles (46.33Z)	BOURGBARRE 35230	1 021 732 514 €
568	TOTALENERGIES EP KAZAKHSTAN	Extraction de pétrole brut (06.10Z)	COURBEVOIE 92400	1 019 429 474 €
569	CREDIT AGRICOLE-GROUP INFRASTRUCTURE PLATFORM	Autres activités informatiques (62.09Z)	PARIS 15 75015	1 017 971 580 €
570	SOCIETE COOPERATIVE AGRICOLE ARTERRIS	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	CASTELNAUDARY 11400	1 013 447 000 €
571	LAGARDERE TRAVEL RETAIL FRANCE	Commerce de détail de journaux et papeterie en magasin spécialisé (47.62Z)	LEVALLOIS-PERRET 92300	1 013 149 585 €
572	BOUYGUES ENERGIES & SERVICES	Travaux d'installation électrique dans tous locaux (43.21A)	GUYANCOURT 78280	1 012 081 207 €
573	SCANIA FRANCE	Commerce d'autres véhicules automobiles (45.19Z)	ANGERS 49100	1 011 464 589 €
574	CRISTAL UNION	Fabrication de sucre (10.81Z)	VILLETTE-SUR-AUBE 10700	1 008 413 904 €
575	EURO DISNEY VACANCES SAS	Activités des voyagistes (79.12Z)	CHESSY 77700	1 006 354 271 €
576	LF LACTALIS FROMAGES	Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles (46.33Z)	CHANGE 53810	1 004 418 654 €
577	SPIE INDUSTRIE & TERTIAIRE	Travaux d'installation électrique dans tous locaux (43.21A)	FEYZIN 69320	1 000 042 483 €
578	ARIANESPACE PARTICIPATION	Activités des sociétés holding (64.20Z)	EVRY-COURCOURONNES 91000	999 683 368 €
579	MAN TRUCK & BUS FRANCE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	EVRY-COURCOURONNES 91080	998 524 602 €
580	ARIANESPACE	Transports spatiaux (51.22Z)	EVRY-COURCOURONNES 91000	998 513 275 €
581	SYNGENTA FRANCE SAS	Recherche-développement en biotechnologie (72.11Z)	SAINT-SAUVEUR 31790	996 738 872 €
582	AMADEUS	Programmation informatique (62.01Z)	BIOT 06410	992 798 000 €
583	SOCIETE DES MAGASINS LOUIS VUITTON - FRANCE	Commerce de détail de maroquinerie et d'articles de voyage (47.72B)	PARIS 1 75001	992 000 000 €
584	MAISON JOHANES BOUBEE	Commerce de gros (commerce interentreprises) de boissons (46.34Z)	BORDEAUX 33300	991 793 760 €
585	MAGELLAN	Activités des sociétés holding (64.20Z)	PARIS 7 75007	989 045 000 €
586	BUNGE FRANCE	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	SAINT-NAZAIRE 44600	989 033 948 €
587	ESSILOR INTERNATIONAL	Fabrication de lunettes (32.50B)	CHARENTON-LE-PONT 94220	989 000 000 €
588	ELECTRO DEPOT FRANCE	Commerce de détail d'appareils électroménagers en magasin spécialisé (47.54Z)	FACHES-THUMESNIL 59155	988 525 430 €
589	GSF GROUPE SERVICES FRANCE	Autres activités de soutien aux entreprises n.c.a. (82.99Z)	PARIS 9 75009	987 523 000 €
590	FAURECIA SIEGES D'AUTOMOBILE	Fabrication d'autres équipements automobiles (29.32Z)	NANTERRE 92000	986 803 549 €
591	SCARMOR SOC CENTRALE APPROVISIONNEMENT ARMORIQUE	Centrales d'achat alimentaires (46.17A)	LANDERNEAU 29800	986 258 435 €
592	BASSAC	Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a. (64.99Z)	BOULOGNE-BILLANCOURT 92100	986 077 000 €
593	ORANO RECYCLAGE	Élaboration et transformation de matières nucléaires (24.46Z)	CHATILLON 92320	984 527 000 €
594	SCOFEL AUCHAN RETAIL AGRO	Commerce de gros (commerce interentreprises) de fruits et légumes (46.31Z)	VILLENEUVE D'ASCQ 59650	981 672 126 €
595	ORTEC EXPANSION	Activités des sociétés holding (64.20Z)	AIX-EN-PROVENCE 13290	979 953 000 €
596	SADE - COMPAGNIE GENERALE DE TRAVAUX HYDRAULIQUES	Construction de réseaux pour fluides (42.21Z)	PARIS 14 75014	976 741 300 €
597	KERMENE	Transformation et conservation de la viande de boucherie (10.11Z)	LE MENE 22330	973 946 534 €
598	MAISONS DU MONDE FRANCE	Commerce de détail d'autres équipements du foyer (47.59B)	VERTOU 44120	970 960 940 €
599	FNAC DIRECT	Vente à distance sur catalogue général (47.91A)	IVRY-SUR-SEINE 94200	970 443 598 €
600	CERP COOPERATIVE D'EXPLOITATION ET DE REPARTITION PHARMACEUTIQUE DE BRETAGNE ATLANTIQUE	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	SAINT-BRIEUC 22000	968 255 756 €
601	OIA ORGANISATION INTRA-GROUPE DES ACHATS	Centrales d'achat non alimentaires (46.19A)	CROIX 59170	968 014 402 €
602	GIFI MAG	Autres commerces de détail en magasin non spécialisé (47.19B)	VILLENEUVE-SUR-LOT 47300	966 610 777 €
603	DAHER AEROSPACE	Fabrication de pièces techniques à base de matières plastiques (22.29A)	SAINT-JULIEN-DE-CHEDON 41400	965 019 000 €
604	RELAIS FNAC	Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé (47.41Z)	IVRY-SUR-SEINE 94200	959 145 237 €
605	BK + K KRONENBOURG	Commerce de gros (commerce interentreprises) de boissons (46.34Z)	OBERNAI 67210	957 788 688 €
606	GMD GROUPE MECANIQUE DECOUPAGE	Activités des sièges sociaux (70.10Z)	SURESNES 92150	957 136 000 €
607	BPI BEAUTE PRESTIGE INTERNATIONAL	Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté (46.45Z)	PARIS 8 75008	955 890 285 €
608	AGCO DISTRIBUTION S.A.S.	Commerce de gros (commerce interentreprises) de matériel agricole (46.61Z)	BEAUVAIS 60000	955 318 337 €
609	PIERRE FABRE MEDICAMENT	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	BOULOGNE-BILLANCOURT 92100	955 021 184 €
610	LECUREUR	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	PARIS 1 75001	954 840 164 €
611	MERSEN	Activités des sociétés holding (64.20Z)	PUTEAUX 92800	950 200 000 €
612	PIERRE FABRE DERMO-COSMETIQUE	Fabrication de parfums et de produits pour la toilette (20.42Z)	BOULOGNE-BILLANCOURT 92100	949 364 175 €
613	FINANCIERE MINH-CAM	Fonds de placement et entités financières similaires (64.30Z)	PARIS 15 75015	948 436 000 €
614	BOUYGUES BATIMENT INTERNATIONAL	Construction d'autres bâtiments (41.20B)	GUYANCOURT 78280	944 147 790 €
615	T-PNE TOTALENERGIES PROXI NORD EST	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	MAXEVILLE 54320	943 704 316 €
616	ORACLE FRANCE	Édition de logiciels applicatifs (58.29C)	COLOMBES 92700	941 379 286 €
617	ALTICE FRANCE	Activités des sociétés holding (64.20Z)	PARIS 15 75015	939 497 000 €
618	SOCIETE COOPERATIVE AGRICOLE AXEREAL	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	OLIVET 45160	937 391 644 €
619	AKWEL SA	Fabrication d'autres équipements automobiles (29.32Z)	CHAMPFROMIER 01410	937 178 000 €
620	ARCELORMITTAL CENTRES DE SERVICES	Commerce de gros (commerce interentreprises) de minerais et métaux (46.72Z)	REIMS 51100	936 653 869 €
621	VINCI CONSTRUCTION GRANDS PROJETS	Construction d'autres ouvrages de génie civil n.c.a. (42.99Z)	RUEIL-MALMAISON 92500	935 094 000 €
622	CHAUSSON MATERIAUX	Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (46.73A)	SAINT-ALBAN 31140	934 608 000 €
623	VIRBAC	Fabrication de préparations pharmaceutiques (21.20Z)	CARROS 06510	934 198 000 €
624	BIOCOOP	Centrales d'achat alimentaires (46.17A)	PARIS 16 75116	933 108 050 €
625	MERCEDES-BENZ TRUCKS FRANCE S.A.S.U	Commerce d'autres véhicules automobiles (45.19Z)	MONTIGNY-LE-BRETONNEUX 78180	932 610 563 €
626	COLAS IDFN COLAS ILE DE FRANCE NORMANDIE	Construction de routes et autoroutes (42.11Z)	MAGNY-LES-HAMEAUX 78114	927 948 844 €
627	BALENCIAGA S A	Commerce de détail d'habillement en magasin spécialisé (47.71Z)	PARIS 7 75007	927 277 371 €
628	VIATRIS SANTE	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	SAINT-PRIEST 69800	925 922 510 €
629	COLAS NORD-EST	Construction de routes et autoroutes (42.11Z)	NANCY 54000	924 908 354 €
630	KEM ONE	Fabrication de matières plastiques de base (20.16Z)	LYON 8EME 69008	924 853 766 €
631	VEOLIA CENTRAL & EASTERN EUROPE	Fonds de placement et entités financières similaires (64.30Z)	PARIS 8 75008	923 100 000 €
632	LYONDELL CHIMIE FRANCE	Fabrication d'autres produits chimiques organiques de base (20.14Z)	FOS-SUR-MER 13270	922 439 345 €
633	CPO COMPAGNIE PETROLIERE DE L'OUEST	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	NANTES 44100	922 271 965 €
634	TUI FRANCE	Activités des voyagistes (79.12Z)	LEVALLOIS-PERRET 92300	917 150 480 €
635	CONTINENTAL FRANCE	Fabrication et rechapage de pneumatiques (22.11Z)	SARREGUEMINES 57200	912 251 616 €
636	NTN-SNR ROULEMENTS	Fabrication d'engrenages et d'organes mécaniques de transmission (28.15Z)	ANNECY 74000	911 459 364 €
637	SNETOR CHIMIE	Commerce de gros (commerce interentreprises) d'autres produits intermédiaires (46.76Z)	COURBEVOIE 92400	910 332 397 €
638	ETAM DEVELOPPEMENT	Activités des sociétés holding (64.20Z)	PARIS 4 75004	910 151 000 €
639	O.S.F. ORANGINA SCHWEPPES FRANCE	Production de boissons rafraîchissantes (11.07B)	NEUILLY-SUR-SEINE 92200	908 152 511 €
640	GDE GUY DAUPHIN ENVIRONNEMENT	Récupération de déchets triés (38.32Z)	CASTINE-EN-PLAINE 14540	907 248 868 €
