Rang	Entreprise	Activité	Ville	Chiffre d'affaires
94	WENDEL	Conseil pour les affaires et autres conseils de gestion (70.22Z)	PARIS 9 75009	8 110 500 000 €
95	VOLKSWAGEN GROUP FRANCE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	VILLERS-COTTERETS 02600	7 504 305 213 €
96	INETUM MODERNISATION SOLUTIONS	Conseil en systèmes et logiciels informatiques (62.02A)	SAINT-OUEN-SUR-SEINE 93400	7 382 669 000 €
97	DASSAULT AVIATION	Construction aéronautique et spatiale (30.30Z)	PARIS 8 75008	7 370 616 000 €
98	SCA PETROLE ET DERIVES	Centrales d'achat de carburant (46.12A)	PARIS 15 75015	7 319 672 218 €
99	LAGARDERE SA	Activités des sièges sociaux (70.10Z)	PARIS 16 75116	7 211 000 000 €
100	PEUGEOT CITROEN SOCHAUX SNC	Construction de véhicules automobiles (29.10Z)	SOCHAUX 25600	7 103 711 036 €
101	HERMES INTERNATIONAL	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	6 883 400 000 €
102	TRANSDEV GROUP	Services auxiliaires des transports terrestres (52.21Z)	ISSY-LES-MOULINEAUX 92130	6 755 600 000 €
103	RFF SNCF RESEAU	Services auxiliaires des transports terrestres (52.21Z)	SAINT-DENIS 93200	6 744 000 000 €
104	NEXANS	Activités des sièges sociaux (70.10Z)	COURBEVOIE 92400	6 735 000 000 €
105	LEGRAND	Activités des sièges sociaux (70.10Z)	LIMOGES 87000	6 622 300 000 €
106	GROUPE KEOLIS SAS	Activités des sièges sociaux (70.10Z)	PARIS 9 75009	6 579 300 000 €
107	XPO LOGISTICS EUROPE	Activités des sièges sociaux (70.10Z)	LYON 6EME 69006	6 414 128 000 €
108	AVIVA FRANCE	Activités des sociétés holding (64.20Z)	BOIS-COLOMBES 92270	6 288 500 000 €
109	KEOLIS	Activités des sièges sociaux (70.10Z)	PARIS 9 75009	6 256 700 000 €
110	LEROY MERLIN FRANCE	Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus) (47.52B)	LEZENNES 59260	6 244 471 851 €
111	SOCIETE COOPERATIVE AGRICOLE ET AGRO-ALIMENTAIRE AGRIAL	Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles (46.33Z)	CAEN 14000	6 090 154 000 €
112	BOUYGUES TELECOM	Télécommunications sans fil (61.20Z)	PARIS 16 75116	6 057 600 000 €
113	LOUIS VUITTON MALLETIER	Commerce de gros (commerce interentreprises) d'autres biens domestiques (46.49Z)	PARIS 1 75001	6 054 600 000 €
114	PISSIER SA	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	BEAUCE LA ROMAINE 41240	6 002 581 356 €
115	ILIAD	Autres activités de soutien aux entreprises n.c.a. (82.99Z)	PARIS 8 75008	5 871 000 000 €
116	OCP REPARTITION	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	SAINT-OUEN-SUR-SEINE 93400	5 862 848 918 €
117	AVRIL GESTION	Activités des sociétés holding (64.20Z)	PARIS 8 75008	5 841 300 000 €
118	TELEPERFORMANCE SE	Activités des agences de publicité (73.11Z)	PARIS 8 75008	5 732 000 000 €
119	SOC COOPER GROUPEM ACHAT CENTRE LECLERC	Centrales d'achat alimentaires (46.17A)	IVRY-SUR-SEINE 94200	5 623 622 000 €
120	SUCRES ET DENREES	Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie (46.36Z)	PARIS 8 75008	5 436 939 000 €
121	RENAULT RETAIL GROUP	Commerce de voitures et de véhicules automobiles légers (45.11Z)	CLAMART 92140	5 347 156 646 €
122	RUBIS	Activités des sociétés holding (64.20Z)	PARIS 16 75116	5 228 487 000 €
123	SAVENCIA SA	Activités des sociétés holding (64.20Z)	VIROFLAY 78220	5 160 377 000 €
124	ASTERA	Activités des sociétés holding (64.20Z)	ROUEN 76000	5 109 256 000 €
125	BUREAU VERITAS	Activités des sièges sociaux (70.10Z)	NEUILLY-SUR-SEINE 92200	5 099 700 000 €
126	SODIAAL UNION	Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles (46.33Z)	PARIS 14 75014	5 098 278 000 €
127	ADECCO FRANCE	Activités des agences de travail temporaire (78.20Z)	VILLEURBANNE 69100	5 025 528 255 €
128	ASSYSTEM	Activités des sièges sociaux (70.10Z)	COURBEVOIE 92400	4 975 000 000 €
129	CARFUEL	Centrales d'achat de carburant (46.12A)	EVRY-COURCOURONNES 91000	4 953 693 042 €
130	ELIOR GROUP	Fonds de placement et entités financières similaires (64.30Z)	COURBEVOIE 92400	4 923 000 000 €
131	ETABLISSEMENTS J. SOUFFLET	Activités des sièges sociaux (70.10Z)	NOGENT-SUR-SEINE 10400	4 909 141 000 €
132	RT RENAULT TRUCKS	Construction de véhicules automobiles (29.10Z)	SAINT-PRIEST 69800	4 902 000 000 €
133	TERRENA	Commerce de gros (commerce interentreprises) non spécialisé (46.90Z)	ANCENIS-SAINT-GEREON 44150	4 857 986 000 €
134	COENTREPRISE DE TRANSPORT D'ELECTRICITE	Activités des sociétés holding (64.20Z)	PARIS 17 75017	4 855 705 000 €
135	RTE RESEAU DE TRANSPORT D ELECTRICITE	Transport d'électricité (35.12Z)	PUTEAUX 92800	4 855 705 000 €
136	GLOBAL LNG	Courtage de valeurs mobilières et de marchandises (66.12Z)	COURBEVOIE 92400	4 789 062 343 €
